URL,MODEL,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTSCORE,LATENCY,COMPRESSION RATE,TOTAL TOKENS
https://tienphong.vn/cao-toc-cao-lanh-an-huu-chua-lam-xong-vi-sao-dong-thap-de-xuat-mo-rong-post1823986.tpo,gpt4o,0.3560,0.2641,0.2522,0.0555,0.6523,4486,36.8700,1453
https://tienphong.vn/cao-toc-cao-lanh-an-huu-chua-lam-xong-vi-sao-dong-thap-de-xuat-mo-rong-post1823986.tpo,gpt4o-mini,0.3124,0.2436,0.2510,0.0468,0.6555,5830,31.9800,1411
https://tienphong.vn/hang-hoa-qua-cua-khau-quang-ninh-tang-manh-post1823958.tpo,gpt4o,0.4452,0.3778,0.3798,0.1370,0.6693,4445,43.4300,1510
https://tienphong.vn/hang-hoa-qua-cua-khau-quang-ninh-tang-manh-post1823958.tpo,gpt4o-mini,0.1679,0.1442,0.1274,0.0039,0.5561,3107,18.4000,1325
https://tienphong.vn/chu-tich-tong-giam-doc-nhieu-doanh-nghiep-dua-co-phieu-post1823910.tpo,gpt4o,0.1749,0.1511,0.1437,0.0045,0.6213,6136,15.7500,2597
https://tienphong.vn/chu-tich-tong-giam-doc-nhieu-doanh-nghiep-dua-co-phieu-post1823910.tpo,gpt4o-mini,0.0841,0.0697,0.0669,0.0000,0.5564,3182,6.7000,2427
https://tienphong.vn/thu-tuong-kiem-tra-du-an-duong-bang-san-bay-phu-cat-post1823946.tpo,gpt4o,0.4221,0.3650,0.3589,0.1259,0.6579,6344,39.6800,1596
https://tienphong.vn/thu-tuong-kiem-tra-du-an-duong-bang-san-bay-phu-cat-post1823946.tpo,gpt4o-mini,0.2777,0.2316,0.2156,0.0278,0.6235,3898,26.1200,1484
https://tienphong.vn/thu-tuong-thi-sat-du-an-cao-toc-quang-ngai-hoai-nhon-hon-20000-ty-post1823941.tpo,gpt4o,0.3869,0.3365,0.2573,0.1132,0.6698,4856,37.8700,1791
https://tienphong.vn/thu-tuong-thi-sat-du-an-cao-toc-quang-ngai-hoai-nhon-hon-20000-ty-post1823941.tpo,gpt4o-mini,0.2451,0.2124,0.2103,0.0244,0.6476,4627,22.3800,1640
https://tienphong.vn/lanh-dao-nhieu-doanh-nghiep-ung-cu-dai-bieu-quoc-hoi-post1823909.tpo,gpt4o,0.2917,0.2295,0.2224,0.0318,0.6232,5503,26.4800,1944
https://tienphong.vn/lanh-dao-nhieu-doanh-nghiep-ung-cu-dai-bieu-quoc-hoi-post1823909.tpo,gpt4o-mini,0.2429,0.1875,0.1728,0.0154,0.6258,5794,20.5500,1872
https://tienphong.vn/ly-do-nhieu-doanh-nghiep-thoai-von-bat-thanh-post1823680.tpo,gpt4o,0.1784,0.1574,0.1451,0.0048,0.5905,8169,16.3300,2095
